,,,
FOUND IN RIGHT,,https://www.thesun.co.uk/sport/21254664/mason-greenwood-speaks-out-charges-dropped/,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
'Parents support teachers strikes as kids deserve to be taught by people who feel valued',"Mirror columnist Eva Simpson on the teacher strikes, and that while they may be a pain for working parents organising childcare, they are a necessary one in order for these valued people to be adequately rewarded for the challenging job they performMy heart sank when I received the dreaded email from my son’s ­primary school informing parents it would be shut today because of the teachers’ strike. Children would, they said, be sent homework to do at home. Oh gosh, it was a return to the pain of homeschooling without PE from Joe Wicks to put a smile on our faces. The parents WhatsApp group – usually reserved for messages about missing jumpers and the weekly spelling list – sprang into life.  Parents who couldn’t work from home were panicking about childcare, those of us who could work from home worried about how we’d even be able to get any work done, and how we’d feed our kids’ insatiable demand for snacks.  But despite the major inconvenience, pretty much all of the parents were on the side of the teachers. Because as challenging as it is when schools are closed, we all appreciate the great work they do in classrooms across the country. Day one of lockdown had me calling for teachers to be paid more when I realised how much they had to contend with during the day. Teaching is a passion for many who do it for the love of the job, but that doesn’t mean they should be paid any less.  Yesterday was the first of seven strikes expected to go ahead in England and Wales affecting 23,400 schools. Around 85% of schools were due to be fully or partially closed. Educators joined thousands of other workers on the biggest walkout in a decade with up to 500,000 downing tools.  The decision to go on strike won’t have been taken lightly. Talks stalled on Monday with teachers who have been offered a 5% pay rise which works out as a 5% pay cut due to inflation. Children deserve to be taught by people who feel valued and motivated, not fed up, ground down and struggling to make ends meet. For their sake, all sides need to get back around the negotiating table and sort this mess out. ",https://www.mirror.co.uk/news/politics/parents-support-teachers-strikes-kids-29109058,
‘I know how hard the work is’: parents’ views on the teachers’ strike,"Three parents share their views on the strike by tens of thousands of teachers in England and Wales. More than 100,000 teachers in England and Wales are taking part in a strike organised by the UK’s largest education union. The UK education secretary, Gillian Keegan, claimed that the majority of schools in England and Wales would remain open. The National Education Union predicted that 85% of schools would be affected, with one survey suggesting that up to one in seven schools would be closed, rising to a quarter in London. -----------------------------1Here, three parents discuss how they and their children are being affected by the strike and their views on the action. -----------------------------2“We recently moved our three-year-old daughter to a preschool in a primary school, and so we’re affected by today’s strikes. I took the day off work, and my daughter and I joined the teachers on the picket line this morning, brought them some biscuits we’d made, and had a chat. We spent the afternoon in the leisure centre for soft play and swimming. -----------------------------3“I’m in a fortunate position that my work is very flexible. [While] taking the day off work is never super easy, I’ve managed to put my phone away and it’s nice to have some more time to spend with my daughter. I appreciate that for others it’s much more complicated. -----------------------------4“I wholeheartedly support the teachers’ strikes. I’m concerned that as a country we can’t pay the people we trust daily with our children’s wellbeing and development better. I used to be a primary teacher myself, and I know how hard the work is, how long the days are, and that pay has been eroded.”Michael Watts, 39, software engineer in London -----------------------------5“Luckily enough my parents can step in today – they’re at the zoo with the kids, who are six and nine. But they’re not going to be able to step in for every one of four days – I imagine we’ll have to take some time off over coming weeks. We don’t get the holidays the teachers get, you’re limited. And who knows if there’ll be more strike days? Then you’re scrabbling around, taking unpaid leave. -----------------------------6“My patience is running out with teachers at the moment. Do they forget Covid, when we were home schooling our children while [we got] a few photocopied lesson plans sent home once a week if we were lucky? Kids missed months of education, it affected a whole generation of kids. Now they are on strike for four days and the school is closed. -----------------------------7“We all want 15% pay rises. Teachers, don’t be upset with us parents if you find there is no wine or gift vouchers at Christmas. It’s quite clear you put yourselves first and the children second.” Steve, 45, contracts manager in Merseyside -----------------------------8“My children, aged seven and 11, are in primary school and both their classes are off today. They are with their dad, who fortunately has holiday. The school didn’t mention anything about home work – we’re glad to not have to do home schooling again. -----------------------------9“I fully support the teachers. It’s ludicrous that successive governments have allowed teaching to be so devalued by failing to deliver attractive pay and benefits, [which would] ensure it’s an appealing career for promising graduates. -----------------------------10“I will say though that my husband has a lot of holiday left and we both work mainly from home, so it’s not going to cause us difficulties if the children are off for the odd day. Plus, they are both doing well at school. If I was worried about missing work, losing a day’s pay or their attainment, I might feel differently, so I have sympathy for parents in any of these positions. It is relatively easy for me to be supportive because I won’t take a personal hit.” Sarah McKenna, 41, works for a retail design consultancy in London -----------------------------11",https://www.theguardian.com/education/2023/feb/01/i-know-how-hard-the-work-is-parents-views-on-the-teachers-strike,
NOT FOUND IN RIGHT,,,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
"Disruption across UK as strikes hit schools, trains, universities and border checks – as it happened","UK public warned of ‘significant disruption’ from strikes involving teachers, civil servants, Border Force staff and train drivers. Thanks for tuning into our live coverage of today’s strikes, the single biggest day of UK industrial action for more than a decade. -----------------------------1Up to half a million people participated in a coordinated strike today involving teachers, civil servants, border force staff and train drivers. Here’s a recap of the day: -----------------------------2One in eight schools and colleges in England and Wales were unaffected by today’s teachers’ strike, while 9% were closed entirely, according to a survey of head teachers carried out by the Association of School and College Leaders. -----------------------------3A majority of parents support strike action by teachers, despite the disruption it will cause them, according to a new poll by Parentkind, the membership organisation for parent-teacher associations. More than 1200 parents took part in the survey and over half (54%) said they supported strike action by National Education Union members, while only 36% opposed it. -----------------------------4At an NEU rally in Westminster, the RMT general secretary, Mick Lynch, told thousands of striking teachers outside Downing Street “we are the working class, and we are back”. He added: “We are here, we are demanding change, we refuse to be bought, and we are going to win for our people on our terms.” -----------------------------5When asked what prime minister Rishi Sunak is doing to sort out the industrial action, his official spokesman said: “We want to have further talks with the unions. Some of those discussions have been constructive. We have to balance that against the need to be fair to all taxpayers, the majority of whom don’t work for the public sector.” -----------------------------6Civil servants covering for striking Border Force staff received just two days’ training before taking up their posts, the Guardian understands. Some NCA staff in Calais say they had little official training before being put to work at passport control -----------------------------7Union leaders have given the education secretary until the end of the month to ‘change her stance’. Mary Bousted and Kevin Courtney, the joint general secretaries of the NEU, said: “Today, we put the education secretary on notice. She has until our next strike day for England, 28 February, to change her stance.” -----------------------------8Thousands of students have joined striking university staff on picket lines across the country, the University and College Union (UCU) said. Jo Grady, UCU general secretary, said: “We have been overwhelmed by the support of thousands of students who have joined us on picket lines across the country.” -----------------------------9The former shadow chancellor has said public sector pay rises can be paid for by taxing capital gains at the same level as income. John McDonnell said: “We just need a fair taxation system. The issue at the moment is that we seem to have a Government that is redistributing wealth upwards.” -----------------------------10The TUC has not ruled out taking the government to court if the minimum service levels bill is passed into law. Trades Union Congress assistant general secretary Kate Bell said the legislation is “unnecessary, unfair and almost certainly illegal”. -----------------------------11The Welsh government education minister said the blame for the strikes lies with the UK government. As the government tries to resolve the dispute, Jeremy Miles said: “there are very real constraints on the Welsh government’s budget because of the frankly disgraceful position the UK government aren’t making enough funding available across the UK for public services.” -----------------------------12A deal that would bring an end to strikes is “further away than when we started” following months of failed negotiations with the government, said the Aslef general secretary, Mick Whelan. “This isn’t a new government – the same people have been in place for 12 years,” he told PA Media. -----------------------------13Kevin Courtney, joint general secretary of the National Education Union, said: “I think Gillian Keegan [the education secretary] is hoping our strike is ineffective and people won’t do it again.” He added: “I think she’s wrong about that. There could be further action. She needs to do a deal so that that doesn’t happen.” -----------------------------14The National Education Union stands ready to negotiate once the education secretary “gets her act together and her story straight”, said union chief Mary Bousted. “Unfortunately about 85% of schools will be impacted for a strike that didn’t need to happen if the government had been prepared to negotiate,” she said. -----------------------------15Heathrow airport said it was operating as normal with minimal queuing in immigration halls despite the strike by border force workers. “Heathrow is fully operational, passengers are flowing through the border smoothly with Border Force and the military contingency providing a good level of service for arriving passengers,” a spokesperson for the airport said. -----------------------------16Paying public sector workers is a matter of “political priority”, said the general secretary of the Public and Commercial Services union (PCS), Mark Serwotka. He said the government claimed it would cost £29bn to give every public sector worker what they’ve demanded; however, its calculations are near £10bn. “And £10bn in an economy like ours can easily be found,” said Serwotka. -----------------------------17Education secretary Gillian Keegan told Sky News “our objective this year is to get rid of the problem, which is inflation.” Keegan told Times Radio she was “disappointed” that a strike by teachers in England and Wales are going ahead and said the industrial action was unnecessary as discussions with the unions were continuing. -----------------------------18Here’s a look at upcoming industrial action: -----------------------------19In what was billed as the biggest day of industrial action in a decade, workers from teachers to train drivers, civil servants to university staff went on strike on Wednesday. -----------------------------20Guardian reporters spoke to groups of workers on picket lines and at demonstrations in Bristol, Birmingham and London. -----------------------------21Read more here: -----------------------------22At a rally in Glasgow nearing lunchtime, the deputy general secretary of the Scottish TUC Dave Moxham said the British people were “seeing through” the UK government’s reasons for the bill. -----------------------------23Speaking to BBC Radio Scotland, he said the mood was “resolute, confident but also angry because it’s a really bad choice to say to people during a period when - through desperation in many cases - they’re taking in action that someone’s going to take that right away.” -----------------------------24.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}This bill goes way beyond other countries quoted by the government, it fundamentally removes the right of strike from some workers and it gives employers or even the business secretary the choice of who they decide should lose that fundamental right to strike. It’s not necessary in terms of safety, it’s highly unnecessary in terms of people’s liberty and it’s something we’ll continue to oppose. -----------------------------25Moxham said there was a “completely different atmosphere” in terms of how the Scottish government approached industrial action, amidst ongoing public sector pay disputes across the country that have most recently seen teachers on strike across 16 days of rolling strikes. -----------------------------26“We’re much closer to them in terms of our shared understanding of trade union democracy.” -----------------------------27Staff working at the Scottish parliament in Edinburgh and the Scottish government have also walked out today and the Scottish Greens and Scottish Labour will not be participating in any parliamentary business on Wednesday. -----------------------------28Just one in eight schools and colleges in England and Wales have been unaffected by today’s teachers’ strike, while 9% were closed entirely, according to a survey of head teachers carried out by the Association of School and College Leaders. -----------------------------29The survey was carried out this morning by the union and found that 13% of schools that responded were fully open as normal or had no teachers on strike. -----------------------------30Geoff Barton, the ASCL’s general secretary, said: -----------------------------31.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}The overwhelming feeling among school and college leaders and teachers today will be one of sadness that we have reached a point at which strike action has been taken as a last resort against a government that will not listen. -----------------------------32“This has clearly been a difficult day for everyone concerned, but the stark truth is that the erosion of teacher pay and conditions over the past decade, and resulting teacher shortages, mean every day in education is a difficult one. -----------------------------33“We implore the government to avert further industrial action by improving pay and conditions and addressing the teacher recruitment and retention crisis.” -----------------------------34Of 948 head teachers and principals in England and Wales, mostly in secondary schools, 97% (920) reported that teachers were on strike. In 35% (330) more than half of teachers took part in the industrial action. -----------------------------35Of the 920 schools and sixth-form colleges where teachers were on strike: -----------------------------3611% (97) were fully open with all students on-site -----------------------------3780% (738) were partially open with some students on-site -----------------------------389% (85) were completely shut with no students on site. -----------------------------39Those that were partially open or completely shut took a range of measures to support students, depending on how the circumstances of the strike affected their setting. -----------------------------40Of these 823 respondents: -----------------------------4186% (709) provided work for students to do at home -----------------------------4281% (668) had on-site provisions for vulnerable students -----------------------------4335% (284) made phone calls to vulnerable students who were not on-site -----------------------------4438% (315) had on-site provisions for children of critical workers -----------------------------4560% (496) had on-site provisions for exam year groups -----------------------------4617% (136) had on-site provisions for students eligible for free school meals, with others providing measures such as packed lunches and vouchers -----------------------------47More than 100,000 teachers took to the streets, demanding a pay rise above inflation, funded by the government, rather than from existing school budgets. -----------------------------48The value of teachers’ salaries has fallen significantly in recent years, contributing to a recruitment crisis in schools. Further strikes are expected from the public sector as pressure mounts on the government to increase salaries. -----------------------------49A majority of parents support strike action by teachers, despite the disruption it will cause them, according to a new poll by Parentkind, the membership organisation for parent-teacher associations. -----------------------------50More than 1200 parents took part in the survey and over half (54%) said they supported strike action by National Education Union members, while only 36% opposed it, and almost two thirds (63%) agreed teachers should receive a pay settlement in line with current inflation. -----------------------------51Parentkind’s CEO, Jason Elsom, said: -----------------------------52.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}With strike action taking place today across England and Wales, parents will be managing with a varied picture of partial or total school closures. What our polling has shown however, is that despite the inconvenience caused by industrial action, the majority of parents clearly support the action being taken by teachers. -----------------------------53“Nobody wants schools to be closed and nobody wants children to lose days of learning, and so it’s in this vein that parents across the country want the government and the teaching unions to work together to achieve a fair and lasting settlement to the question of teacher pay. Only then can disruption to children’s education be kept to a minimum.” -----------------------------54Speaking at an NEU rally in Westminster, the RMT general secretary, Mick Lynch, told thousands of striking teachers outside Downing Street “we are the working class, and we are back”. -----------------------------55Lynch said, according to PA news: -----------------------------56.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}Welcome to Westminster, the house of fools and the house of the corrupt … Last year, Grant Shapps, remember him? He’s still around. Lurking around all of these buildings here, running the Government, telling Rishi Sunak what to do, trying to ban the working class. -----------------------------57“He was telling the media that the railway workers have got no friends, that we would be back at work, and how dare we ask for a pay rise when teachers can’t afford to live when nurses are more deserving cases, when public-sector workers can’t get a pay deal. -----------------------------58“Our message then, as it is today, is every worker needs a pay rise, every worker needs a square deal. -----------------------------59.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}And our message is sod this, we demand, and we are united. We will not be divided on the basis of who we work for. We will not be divided on the basis of our belief, or the colour of our skin, or the part of the country we are from. We are the working-class, and we are back. We are here, we are demanding change, we refuse to be bought, and we are going to win for our people on our terms.” -----------------------------60When asked what Rishi Sunak is doing to sort out the industrial action, his official spokesperson told PA news: -----------------------------61.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}We want to have further talks with the unions. Some of those discussions have been constructive. We have to balance that against the need to be fair to all taxpayers, the majority of whom don’t work for the public sector. -----------------------------62“As we’ve seen from the IMF just this week, inflation is one of the biggest risks to people’s pay packets and the government will continue to take responsible action to ensure public sector workers are paid fairly but that it’s also affordable for the taxpayer.” -----------------------------63When asked about the apparent unwillingness of the prime minister or chancellor to meet with union leaders, the official said: -----------------------------64.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}I wouldn’t agree with that statement. I think it is true that obviously we need to consider it in the round. -----------------------------65“But equally, we think the fair thing to do is to have an independent body that considers things like inflation, and other input factors like retention and recruitment in coming to a judgment. That’s what’s happened this time round, that’s what we think should happen for the current pay review period we’re in.” -----------------------------66Exclusive: Some NCA staff in Calais say they had little official training before being put to work at passport control -----------------------------67Civil servants covering for striking Border Force staff received just two days’ training before taking up their posts, the Guardian understands. -----------------------------68During the first set of strikes in December, members of the armed services and staff from Whitehall received between five and seven days of training before being asked to check on crimes such as carrying a false passport, drug smuggling, people trafficking and modern slavery. -----------------------------69Border Force guards are usually given three weeks of training as a minimum before they interact with the public. After the three weeks, they are given a mentor to work alongside for up to a month to ensure they can work solo on a passport desk. -----------------------------70But some National Crime Agency (NCA) staff who are working in Calais received just two days of official training before being put to work at passport control. -----------------------------71One informed source said: “Staff from NCA have been brought in to cover strikers in Calais. Two days of training and a quick familiarisation visit on Tuesday and then protecting the borders on Wednesday.” -----------------------------72Read more here: -----------------------------73The education secretary must “step up with concrete and meaningful proposals” on teachers’ pay to prevent further strikes, union leaders have said. -----------------------------74Mary Bousted and Kevin Courtney, the joint general secretaries of the NEU, said, PA news reports: “This is no cause for celebration, but an indication of the level of anger among our members. -----------------------------75.css-cumn2r{height:1em;width:1.5em;margin-right:3px;vertical-align:baseline;fill:#C70000;}It is a huge statement from a determined membership who smashed through the Government’s thresholds that were only ever designed to prevent strike action happening at all. Today, we put the education secretary on notice. She has until our next strike day for England, 28 February, to change her stance. -----------------------------76The National Education Union (NEU) has estimated around 85% of schools in England and Wales have been affected by teacher strikes. -----------------------------77",https://www.theguardian.com/uk-news/live/2023/feb/01/school-strikes-latest-news-teachers-trains-universities-updates,
"Teachers, civil servants and train drivers walk out TODAY in biggest strike in a decade","Today's walkouts by five unions will be biggest day of strike action since 2011 - and will coincide with mass protests by the Trades Union Congress (TUC) against the Government's anti-strike legislationTeachers, lecturers, civil servants and train drivers will go on strike today in the largest wave of industrial action in more than a decade. Up to half a million workers will down tools across England and Wales as ministers continue to resist their demands for a decent pay rise. Today's walkouts by five unions will be biggest day of strike action since 2011 - and will coincide with mass protests by the Trades Union Congress (TUC) against the Government's anti-strike legislation Soldiers are being drafted in to cover for striking workers as around 100,000 civil servant members of the PCS union are due to walk out - threatening turmoil at airports and disruption to services including benefits, passports, and driving licences. Downing Street said around 600 military personnel would be brought in to assist but admitted there would be ""significant disruption"". Tens of thousands of schools will be affected as fed-up teachers join pickets in protest over pay and workloads, which union leaders blame for persistent staffing issues.   Members of the National Education Union (NEU), the UK's largest teaching union, are taking part in the first of seven strike dates, which is expected to affect 23,400 schools in England and Wales. Six more days of walkouts have already been announced up to March 16, and the NEU has warned they could announce more dates if ministers don't get serious on pay. Some schools have already decided to close while other heads won't know what staffing gaps they have to fill until the strike begins. The NEU balloted more than 300,000 members - and another 40,000 people have joined the union since the strikes were announced. The exact number of teachers out on strike is not known, as schools will only be affected by up to four of the seven strike dates so not all NEU members will walk out at the same time.  There were 563,831 full time teachers in the UK in the 2021/22 academic year, the latest official data shows. In echoes of Covid lockdowns, schools are being urged to prioritise vulnerable kids and the children of critical workers, and then pupils preparing for exams. The Government has told heads to keep schools open wherever possible but they can switch to online lessons if they haven't got enough staff. Teachers are furious about the Government's offer of a 5% pay rise for most teachers - which works out as a 5% cut due to inflation. Talks to avert the strikes ended without agreement on Monday. Train drivers from the Aslef and RMT unions are striking today as part of a long running pay dispute in fresh misery for rail passengers. And lecturers and other university workers in the UCU union will also be on the picket lines.  Downing Street said today's mass strike action will be ""very difficult"" for Brits. The Prime Minister's official spokesman said: ""We know that there will be significant disruption given the scale of the strike action that is taking place tomorrow and that will be very difficult for the public trying to go about their daily lives. ""We are upfront that this will disrupt people's lives and that's why we think negotiations rather than picket lines are the right approach.""  Fewer than 1 in 5 Brits (17%) think Rishi Sunak's Government is doing a good job negotiating with trade unions to prevent strikes - and 31% think a Labour government led by Keir Starmer would do a better job.  The poll by Ipsos, published today, found 44% back striking teachers while 35% oppose the walkouts. A majority of the public also support nurses (61%) and ambulance crews (55%) on strike action. Public opinion is more split on border force staff with 37% in favour and 34% against, while 35% back rail strikes and 39% oppose them. It comes as new analysis from the TUC said the average public sector was £203 a month worse off compared to 2010 once inflation has been taken into account. TUC General Secretary Paul Nowak said: “Public sector workers face a double whammy. First ministers hold down their pay and then they attack their fundamental right to strike.  “Let’s be clear. This will do nothing to solve the staffing crisis in our schools and in the NHS.   “After years of brutal pay cuts, nurses, teachers and millions of other public servants have seen their living standards decimated – and are set to face more pay misery. “Instead of scheming up new ways to attack the right to strike, ministers should get pay rising across the economy – starting with a decent pay rise for workers across the public sector.” Liberal Democrat education spokesperson Munira Wilson said school closures were the last thing parents and children need after the disruption caused by the pandemic. She said: ""It’s unacceptable that Conservative Ministers have let it come to this. They have crashed the economy and bungled the negotiations over teachers’ pay. ""Today, parents and children will yet again be forced to pay the price for this Conservative chaos."" Education Secretary Gillian Keegan said the strikes were ""hugely disappointing"" and said unions didn't need to walk out to get her attention. She said: These strikes will have a significant impact on children’s education, especially following the disruption of the past two years, and are creating huge uncertainty for parents. “With talks ongoing on a range of issues, including around future pay, workload, behaviour and recruitment and retention, it is clear that strikes are not being used as a last resort."" ",https://www.mirror.co.uk/news/politics/teachers-civil-servants-train-drivers-29097898,
Ministers and unions dig in amid widespread strike action across UK,"Little prospect of breakthrough as strikes hit schools, trains, universities and border posts. Unions and the government appear as far apart as ever after widespread strike action closed or partly closed more than half of schools across England and Wales. -----------------------------1Striking workers from participating unions held rallies in cities including Bristol, Brighton, Birmingham and London on Wednesday as teachers, university staff, rail workers and civil servants stopped work to demand better pay. -----------------------------2When Rishi Sunak was asked whether he would negotiate with public sector workers, the prime minister instead called on Labour to condemn the teachers’ strikes as “wrong”, and he told MPs that children “deserve to be in school today, being taught”. -----------------------------3A survey of 948 schools by the Association of School and College Leaders found that 920 were affected by the industrial action. In 35% of schools, more than half of teachers were on strike. -----------------------------4The Department for Education was eager to stress that 90% of state schools in England remained open, based on its figures – though less than half – 45.9% – were “fully open”. The DfE defined a school as being “fully open” if 90% of its pupils were either present, absent for unauthorised reasons or ill. -----------------------------5If more than 10% of pupils were registered as out of school for strike-related reasons, including those asked to work from home, the school was counted as “open but restricting attendance”. Only if no pupils at all were present was a school defined as closed. -----------------------------6The education secretary, Gillian Keegan, said: “One school closure is too many, and it remains deeply disappointing that the NEU proceeded with this disruptive action – but many teachers, headteachers and support staff have shown that children’s education and wellbeing must always come first.” -----------------------------7Polling by Savanta suggested 58% of parents supported the teachers’ strike, despite having to cope with school closures. Across the population as a whole, 50% backed the teachers. -----------------------------8Chris Hopkins, Savanta’s political research director, said: “The government’s strategy on the strikes has very much been to hope that the greater the disruption, the higher the opposition, but so far that hasn’t been the case.” -----------------------------9The leaders of the National Education Union (NEU), Mary Bousted and Kevin Courtney, described Wednesday’s strike as “a huge statement from a determined membership who smashed through the government’s thresholds that were only ever designed to prevent strike action happening at all”. -----------------------------10They urged Keegan to “step up with concrete and meaningful proposals” in time to halt their next planned strike action, on 28 February. -----------------------------11Mark Serwotka, the general secretary of the Public and Commercial Services union (PCS), which represents civil servants, said he was also waiting for a serious offer from ministers. “There is no substance, nothing remotely looking like it,” he said. -----------------------------12Many PCS members have been awarded a 2% pay increase, and 100,000 members across public services from museums to border posts were striking on Wednesday. -----------------------------13After visiting picket lines around London and addressing a rally, Serwotka described striking members as “very young, very vibrant, very diverse. Lots of first-time strikers, and a real sense from many of them that they felt quite empowered.” -----------------------------14Hailing continued public support for their cause, he said: “Unless anything shifts, there’s an inevitability that this is bound to grow.” -----------------------------15after newsletter promotion -----------------------------16The focus will swing back to the NHS next week with four days of industrial action, kicking off with simultaneous strikes by nurses and ambulance workers on Monday. -----------------------------17Health unions are deeply frustrated by what they see as the unwillingness of ministers to enter into serious discussions. -----------------------------18A government source sought to blame the unions for the standoff, saying “they need to come to the table with something that is realistic”, and insisting ministers and officials were ready to talk. -----------------------------19But the health unions say it is the government that needs to make a fresh offer – specifically, on pay – and that no meetings are scheduled. -----------------------------20Sunak struck a tough line on the school strikes at prime minister’s questions on Wednesday. “When it comes to teachers, we’ve actually given teachers the highest pay rise in 30 years, that includes a 9% pay rise for newly qualified teachers and record investment in their training and development,” he said. “I am clear that our children’s education is precious, and they deserve to be in school today being taught.” -----------------------------21Responding to a question from the City of Durham MP, Mary Kelly Foy, he said Labour “would do well to say that the strikes are wrong and we should be backing our schoolchildren”. -----------------------------22The RMT and Aslef rail unions held the first of two days of strike action on Wednesday, causing widespread disruption to train travel. The RMT general secretary, Mick Lynch, told a rally in London: “We are the working class, and we are back. We are here, we are demanding change, we refuse to be bought, and we are going to win for our people on our terms.” -----------------------------23The RMT said on Wednesday that it had received a new pay offer from Network Rail, which its national executive committee would now consider. “No decision has been made on the proposals nor any of the elements within them,” the union said. -----------------------------24The dispute with Network Rail is separate from the long-running standoff with train operating companies. -----------------------------25Downing Street’s public stance remained unchanged by Wednesday’s strikes, with Sunak’s official spokesperson offering no new initiatives to unblock a process that some in Westminster fear is at an impasse. -----------------------------26“We want to have further talks with the unions,” the spokesperson said. “Some of these discussions have been constructive. We have to balance that against the need to be fair to all taxpayers, the majority of whom don’t work for the public sector.” -----------------------------27",https://www.theguardian.com/uk-news/2023/feb/01/ministers-and-unions-dig-in-amid-widespread-strike-action-across-uk,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
Half term holidays at risk as Border Force announce four days of strike action,"One thousand Border Force officers will stage strikes for four days during half term - putting school holidays in jeopardy - the Public and Commercial Services union has announcedOne thousand Border Force officers will stage strikes for four days during half term - putting school holidays in jeopardy. Staff working in Dover, Calais, Coquelles and Dunkirk are to walk out on February 17-20, the Public and Commercial Services (PCS) union has announced. More than 100,000 civil servants who are members of the PCS union are to strike tomorrow. Border Force staff are affected by similar issues over pay, pensions, redundancy terms and job security. PCS general secretary Mark Serwotka said: “Our members perform vital roles. We therefore expect our strikes tomorrow [Wednesday, February 1] will have a massive impact on public services. “And the strikes we have announced today in the Border Force will impact on people returning from their holidays during the half term period.   “For while the government brought untrained military personnel in to replace our highly-skilled and experienced officers in airports over Christmas, they won’t be able to do that in France. “The blame for these strikes lies firmly at the feet of ministers who are refusing to put any money on the table.” Strikes by up to half-a-million workers across the UK in bitter disputes over pay, jobs and conditions are set to take place this week.  Teachers, train drivers, civil servants, university lecturers, bus drivers and security guards from seven trade unions will walk out on Wednesday in what will be the biggest day of industrial action in over a decade.  Thousands of ambulance workers in Unison across five services in England will also strike on February 10 in the long-running dispute over pay and staffing, the union announced today. It puts further pressure on the Prime Minister, who is failing to get a grip on industrial action.  Unison's February 10 strike again involves ambulance workers in London, Yorkshire, the South West, North East and North West.  Unison's fresh date will mean strikes will now be happening across the NHS every day next week apart from Wednesday.  The GMB announced that more than 10,000 blue light workers in England will walk out on February 6 and 20, and March 6 and 20, in a fraught dispute over pay. The February 6 date coincides with further strike action by the Royal College of Nursing (RCN) in England and Wales, marking the first time paramedics and nurses will down tools on the same day. Nurses will also strike the following day, along with midwives in Wales.  Follow Mirror Politics on    Snapchat   ,    Tiktok   ,    Twitter   and    Facebook. ",https://www.mirror.co.uk/news/politics/half-term-holidays-risk-border-29099755,
